# r, Menc, Menc_neg_err, Menc_pos_err
1.000000000000000021e-03,5.100000000000000000e+06,5.000000000000000000e+05,5.000000000000000000e+05
4.000000000000000083e-03,1.300000000000000000e+07,2.000000000000000000e+07,2.000000000000000000e+07
1.000001000000000015e-02,3.000000000000000000e+07,1.000000000000000000e+07,1.000000000000000000e+07
1.199999999999999956e-01,8.000000000000000000e+08,2.000000000000000000e+08,2.000000000000000000e+08
8.099999999999999645e+00,8.947797426552453613e+10,4.857612440136627197e+09,4.993173717535797119e+09
8.400000000000000355e+00,1.023925568654858551e+11,1.546402719960809326e+10,1.672926578866693115e+10
8.300000000000000711e+00,1.103871651186046295e+11,4.385803408253646851e+09,4.474704828691238403e+09
1.900000000000000000e+01,2.079654575403523560e+11,3.482358157331176758e+10,4.430566523062316895e+10
5.000000000000000000e+01,3.998034929726192627e+11,7.267646289294879150e+10,1.099459605636032104e+11
6.000000000000000000e+01,3.998034932231398926e+11,6.432705380089813232e+10,6.996561130711920166e+10
1.000000000000000000e+02,4.097985801703936768e+11,3.811979136835839844e+10,3.998034929446728516e+10
5.000000000000000000e+01,4.197936677046789551e+11,3.816212104580474854e+10,3.998034930353576660e+10
5.000000000000000000e+01,5.297396281752312622e+11,3.852603749193853760e+10,9.995087326301025391e+09
1.200000000000000000e+02,5.397347153190322876e+11,1.238203263775342407e+11,1.999017464475852661e+11
5.000000000000000000e+01,5.397347158070904541e+11,2.684160804319866333e+11,1.999017465659667969e+10
2.000000000000000000e+02,6.796659381088594971e+11,3.135648001122656860e+11,4.097985803523715820e+11
8.000000000000000000e+01,6.896610252673720703e+11,1.103303622581517334e+11,2.998526197016072998e+11
1.500000000000000000e+02,7.500000000000000000e+11,2.500000000000000000e+11,2.500000000000000000e+11
1.000000000000000000e+02,1.399312225237738770e+12,8.311051156521246338e+11,8.995578591571943359e+11
