 Radius   Velocity  Vel_Disp
    0.29   241.68    17.15
    0.52   242.67    11.06
    0.82   226.67    12.34
    1.10   214.93     6.44
    1.30   210.32     7.12
    1.51   203.26     6.14
    1.74   201.01     3.76
    1.97   199.71     5.23
    2.17   196.65     7.07
    2.32   193.97     6.63
    2.44   192.61     6.22
    2.57   191.40     4.05
    2.70   191.84     3.76
    2.82   192.93     3.29
    2.94   192.51     3.70
    3.06   192.54     4.76
    3.19   197.59     8.86
    3.30   200.61     9.73
    3.42   200.16     6.08
    3.54   199.11     3.43
    3.65   200.92     7.10
    3.77   204.13     9.23
    3.89   208.48     9.79
    4.01   215.06    11.90
    4.13   217.24     8.67
    4.25   212.75     8.18
    4.36   210.44     4.87
    4.47   211.66     6.42
    4.58   207.17     6.82
    4.70   204.11     4.28
    4.82   206.15     4.52
    4.93   209.06     3.71
    5.04   209.52     4.25
    5.15   207.55     5.04
    5.23   211.21    12.58
    5.29   209.96    13.40
    5.35   207.53    10.47
    5.46   204.40     4.75
    5.57   207.26     3.85
    5.67   215.69    22.63
    5.78   215.79    22.64
    5.88   208.23     2.90
    5.97   210.75     5.28
    6.06   213.56     6.12
    6.13   213.48     7.74
    6.19   220.51    13.49
    6.25   216.21    20.47
    6.31   205.33    19.41
    6.36   212.06    16.77
    6.42   212.21    13.30
    6.51   208.97    11.70
    6.61   206.99     8.68
    6.71   209.96     1.64
    6.79   209.73     3.30
    6.87   208.78     3.44
    6.96   207.64     2.83
    7.06   208.47     4.98
    7.14   207.82     5.04
    7.19   205.32     3.49
    7.24   205.39     2.77
    7.31   205.23     2.73
    7.37   206.20     4.10
    7.42   206.49     3.58
    7.49   203.74     3.18
    7.55   203.77     2.94
    7.60   203.62     2.25
    7.66   203.36     3.02
    7.72   203.73     3.58
    7.78   204.03     3.10
    7.82   211.67    13.91
    7.87   213.32    13.08
    7.91   209.25     6.82
    7.95   209.51    11.60
    7.97   207.16    10.50
    7.99   204.59     4.54
    8.01   203.53     5.16
    8.04   199.22     6.93
    8.10   199.03     8.25
    8.21   201.96    12.49
    8.34   198.44    21.91
    8.43   197.99    22.06
    8.53   191.27    12.84
    8.68   189.27    12.81
    8.81   187.69    11.71
    8.98   182.83    14.43
    9.16   178.79    14.42
    9.29   179.66    15.21
    9.37   181.14    61.68
    9.42   181.99    61.01
    9.45   184.83    17.61
    9.50   185.04    21.30
    9.56   179.10    19.01
    9.61   185.30    23.53
    9.71   208.25    62.72
    9.97   228.97    82.82
   10.22   194.57    72.39
   10.35   183.12    36.41
   10.44   186.06    33.68
   10.53   178.75    26.27
   10.71   191.94    56.89
   10.91   207.40    83.98
   11.10   217.91    81.18
   11.28   186.57    32.01
   11.46   188.82    32.84
   11.66   231.29    79.97
   11.85   235.53    76.43
   12.01   190.23    59.04
   12.23   185.46    56.98
   12.46   180.64    46.55
   12.68   189.61    35.06
   12.95   201.44    29.21
   13.35   191.58    59.54
   13.72   179.32    55.83
   14.22   184.34    46.37
   15.03   207.32    57.73
   15.81   248.18    54.54
   16.57   230.35    56.57
   18.33   191.50    72.26
   20.43   213.57   110.00
   25.23   230.27   130.92
   42.43   179.24    96.93
   67.82   181.69    58.27
   91.23   161.62    74.18
  194.41   113.94    95.22
  470.61   108.62   112.52
  733.82   131.40   108.49
  883.80   123.56    92.68
 1106.49   161.33   124.88
